year,percentile,exp,antdyn,antsmb,greendyn,greensmb,glacier,landwater,GIA,antnet,greennet,sum
2007,5,0.007412072566151619,-0.0003583246571653038,-0.00014704131912452684,0.002366923697449878,0.00199068598193268,0.00800727265439921,0.00036440904591380244,-0.0020967304089423286,-0.00045503213358600995,0.004411534151456475,0.019298801365740643
2007,10,0.008360614928603172,-0.00035079552388899397,-0.00012374860099598255,0.00240095683346283,0.002016626819683337,0.008269903264988384,0.00037659843994505203,-0.0020967304089423286,-0.00043137683178446056,0.004464202036682512,0.020687052395492404
2007,30,0.010795652567315846,-0.00032193769916562124,-8.303626753591746e-05,0.002490901584624222,0.0020838193840373074,0.008813965493464143,0.00043754541010129994,-0.0020967304089423286,-0.0003821059491855392,0.004595516930514147,0.023800073933863318
2007,33,0.011067471873760224,-0.0003174986573784844,-7.896366541384994e-05,0.002503056241501685,0.0020919293995003223,0.008874409096323383,0.00044668740818411273,-0.0020967304089423286,-0.00037611647631145834,0.004613834591018041,0.02415013744962811
2007,50,0.012451514224708079,-0.00028251021642937543,-5.917973702878497e-05,0.0025601984010806883,0.0021376609998954308,0.009198440908561863,0.0004984923423050482,0.0006426668409204348,-0.0003408424777827109,0.0047117625201758,0.02599218265728094
2007,67,0.013921686838008464,-0.0001361622070164918,-4.132737593923555e-05,0.002618634983485276,0.002187458963259153,0.009580240695967477,0.0005502972764259838,0.0006426668409204348,-0.0002780442461983347,0.004806855293159701,0.027800050221081035
2007,70,0.014207613454665988,-0.00013341446113369259,-3.8086091259450464e-05,0.0026338791554432355,0.002198006996526057,0.009659855831112368,0.0005594393504137956,0.0006426668409204348,-0.0002450263507173884,0.004825304992593686,0.028151703193718264
2007,90,0.017077649435028434,-0.000122433137607292,-1.4590890529694853e-05,0.0027291512273574067,0.0023091729877088587,0.010413608615649482,0.0006173389625741063,0.0006426668409204348,-0.00016438652815929463,0.004975354678878985,0.03155351764400366
2007,95,0.01864752147886902,-0.00011977230156755998,-6.923069383535689e-06,0.0027742977541791833,0.0023731465067332275,0.010759169876260577,0.0006325757146012932,0.0006426668409204348,-0.00014791707450063842,0.00504789998916418,0.03330025194459777
2008,5,0.008465001151897014,-0.0004270876130440148,-0.0002879349051825689,0.002717436374717038,0.002041886932157613,0.008053275671443828,0.0007186814346375422,-0.0022873422643007223,-0.0006246518162809496,0.004872115688781906,0.021355243152348286
2008,10,0.009463534093089402,-0.00041071970928759023,-0.0002411643090368116,0.0027770335892569635,0.002082852309586872,0.008495620399041458,0.0007442560300547128,-0.0022873422643007223,-0.0005787739744781702,0.004958937391320825,0.02295093822937468
2008,30,0.01193498423723504,-0.00036012331024162623,-0.0001598138718685851,0.0029128259119676585,0.002186709602691884,0.00943814963646989,0.0008721294625705601,-0.0022873422643007223,-0.0004896715752363616,0.0051621114624254725,0.026567888068104662
2008,33,0.012217715264111757,-0.0003554941046629516,-0.00015168311519280165,0.0029283982363552414,0.0021999399572356247,0.009537384159690158,0.0008913103522046889,-0.0022873422643007223,-0.0004794407739855574,0.005186499285340378,0.026968785483702903
2008,50,0.013653127290681005,-0.0003233190487215309,-0.0001123422721740483,0.003017492386754916,0.002276206129165125,0.010068686239701785,0.0010000026673714104,0.0007010910991859289,-0.000423264831264398,0.005318508459558089,0.02906500914617198
2008,67,0.015162743860390038,-0.00016809543869036243,-7.677561095921158e-05,0.0031097275220067916,0.00236816585189736,0.0106633280832094,0.00110869513434813,0.0007010910991859289,-0.00035393233352731644,0.005457363748418983,0.031126847439084577
2008,70,0.015456584729626775,-0.00016019158974736098,-7.029985582665645e-05,0.003124685512500717,0.0023875724236274726,0.010786458134396312,0.0011278760998872576,0.0007010910991859289,-0.0003379063552058959,0.005484993841218609,0.031526263944456116
2008,90,0.01844888522028923,-0.00013690414491299903,-2.3225797778349074e-05,0.003276177450996425,0.0026013488533936815,0.011952192946661689,0.0012493559025250622,0.0007010910991859289,-0.00021543012702559207,0.005740785562163118,0.03537131509575777
2008,95,0.020026943547371775,-0.00013148474531523443,-7.42094298266918e-06,0.0033538794542432304,0.0027277518320416626,0.012495667744615899,0.0012813242037252746,0.0007010910991859289,-0.00018231103732935358,0.005880514884727838,0.037331920293149426
2009,5,0.00923212705012411,-0.0004991383920875932,-0.00044010321132081313,0.003067023741579107,0.0020942648501977154,0.008200537453789446,0.001062816938456222,-0.002477954119659116,-0.0008098960827768964,0.005329706771578441,0.023232108308289603
2009,10,0.010341285995207727,-0.00047302319791258133,-0.00036893089172479807,0.003133980087337412,0.0021506654941190534,0.00879904602720447,0.001102972808281482,-0.002477954119659116,-0.0007413675254317818,0.005450286067179536,0.02510240677580875
2009,30,0.013103122517466545,-0.00040789307580538394,-0.00024489004838302,0.0033180399099444918,0.002299046308647517,0.01006919698742632,0.0013037520055977827,-0.002477954119659116,-0.0006100448910351719,0.005729511293826339,0.029368063285047846
2009,33,0.013418932667467744,-0.0004010672097177025,-0.00023252773037660322,0.0033422590272613557,0.002318515501478466,0.010203386066987181,0.0013338688320617285,-0.002477954119659116,-0.000595501774111467,0.005762472291218341,0.029849014887424707
2009,50,0.015011734015867114,-0.00036468257622430163,-0.0001724234187800086,0.00347583233313415,0.0024308567035758706,0.010914910651813797,0.0015045313547240814,0.0007595153574514231,-0.0005181185604732274,0.005944839781131493,0.032283736525529794
2009,67,0.01669024397712201,-0.00020389006500754294,-0.00011827433794909751,0.0036146949418487877,0.002568773570353211,0.01169786327244565,0.0016751935737664384,0.0007595153574514231,-0.000434890409923887,0.006138882103212603,0.03468308753156163
