year,percentile,exp,antdyn,antsmb,greendyn,greensmb,glacier,landwater,GIA,antnet,greennet,sum
2007,5,0.006784050434827805,-0.0003580585826127249,-0.00014481082352613787,0.002366923697449878,0.001991122348922335,0.008026125970031363,0.00036440904591380244,-0.0020967304089423286,-0.0004531926014619867,0.004411526005158151,0.01865289047996138
2007,10,0.007691982343420387,-0.00035057650624909333,-0.00012201376316847294,0.00240095683346283,0.0020168847021553487,0.00828240788397094,0.00037659843994505203,-0.0020967304089423286,-0.0004299110779501016,0.004464012833102899,0.020067367664311383
2007,30,0.010203955512866377,-0.00032185782775384707,-8.214624217076712e-05,0.002490901584624222,0.002083570863230699,0.008812116498795406,0.00043754541010129994,-0.0020967304089423286,-0.0003814328860742367,0.0045945928663306814,0.02318863019824551
2007,33,0.010468685278203339,-0.0003174610096685195,-7.817241507180898e-05,0.002503056241501685,0.0020916571357890014,0.008870793921555804,0.00044668740818411273,-0.0020967304089423286,-0.0003755801608532316,0.004612801597976723,0.02355339722477024
2007,50,0.011893657454475761,-0.0002823699399832792,-5.877880322013035e-05,0.0025601984010806883,0.0021368306490516355,0.009189969632653073,0.0004984923423050482,0.0006426668409204348,-0.0003405879024716333,0.004710640165204585,0.025420937149293086
2007,67,0.013384515400882811,-0.0001360682142436887,-4.1252979482461465e-05,0.002618634983485276,0.0021859618901830897,0.00956771161791481,0.0005502972764259838,0.0006426668409204348,-0.0002775006095881346,0.004805495133843556,0.027319244226689188
2007,70,0.013754773689433933,-0.00013330925405769762,-3.8067510306068276e-05,0.0026338791554432355,0.0021962909806900036,0.009645961733480013,0.0005594393504137956,0.0006426668409204348,-0.00024335090999015962,0.004823877540165112,0.02768422818325323
2007,90,0.016801452120058256,-0.0001223865086554205,-1.5149295690097448e-05,0.0027291512273574067,0.002305565499217787,0.010390148645288711,0.0006173389625741063,0.0006426668409204348,-0.00016431644570487624,0.004973032117929419,0.031245504268120904
2007,95,0.018369949688762426,-0.00011973818552310997,-7.562771699854428e-06,0.0027742977541791833,0.0023687510935325564,0.010729764933182347,0.0006325757146012932,0.0006426668409204348,-0.00014819204152095872,0.005044554772651072,0.03306879455784106
2008,5,0.007697510223090649,-0.00042602784341440965,-0.0002886392720743323,0.002717436374717038,0.002046157569671805,0.008107784058201666,0.0007186814346375422,-0.0022873422643007223,-0.0006248454320761744,0.004876167338183198,0.02061918805726338
2008,10,0.0086573930375278,-0.00040985054331494356,-0.00024221723792590234,0.0027770335892569635,0.0020868757915898503,0.008548104213941154,0.0007442560300547128,-0.0022873422643007223,-0.0005792147227227152,0.004962724302700968,0.022250429928454055
2008,30,0.011251234156638385,-0.00035945663885627563,-0.00016135791621673534,0.0029128259119676585,0.0021903557491991963,0.009468463734875131,0.0008721294625705601,-0.0022873422643007223,-0.0004905891582821923,0.005165770177573148,0.02591514569845923
2008,33,0.011527236102148892,-0.00035488848892244304,-0.00015329282517527977,0.0029283982363552414,0.0022033922130151465,0.009566769232599177,0.0008913103522046889,-0.0022873422643007223,-0.00048048484375011425,0.0051900413224142275,0.02633564373032473
2008,50,0.013031635669618844,-0.00032275797679581027,-0.0001140113700658542,0.003017492386754916,0.0022795895932484554,0.0100921185411968,0.0010000026673714104,0.0007010910991859289,-0.0004245590454721719,0.005321852194175594,0.02848203342154195
2008,67,0.014616949460841714,-0.00016771944746575115,-7.863006163077162e-05,0.0031097275220067916,0.0023714076878647507,0.010683984797909253,0.00110869513434813,0.0007010910991859289,-0.0003554974554057097,0.00546087030268558,0.03064613950707241
2008,70,0.014994880342297255,-0.00015977076144338105,-7.225451957875752e-05,0.003124685512500717,0.002390771877522472,0.010808653932319024,0.0011278760998872576,0.0007010910991859289,-0.00033944280771907817,0.005488462206764694,0.03106783559229637
2008,90,0.018236148434877395,-0.0001367176391722126,-2.5365678822508385e-05,0.003276177450996425,0.0026045809482940574,0.011968022446581244,0.0012493559025250622,0.0007010910991859289,-0.00021716937443282672,0.005744015653173251,0.035115507711092515
2008,95,0.01989541758969426,-0.00013134827107073497,-9.996871052639138e-06,0.0033538794542432304,0.0027306411574407594,0.0125082391595037,0.0012813242037252746,0.0007010910991859289,-0.00018419435976044652,0.005883058924353431,0.03715244778133461
2009,5,0.008662209324538709,-0.0004967639416904676,-0.00044473307100798064,0.003067023741579107,0.002105192541130623,0.00832727617478038,0.001062816938456222,-0.002477954119659116,-0.0008132062162642763,0.005339968453566104,0.022773346019784424
2009,10,0.009701898198667914,-0.0004710601589913323,-0.00037399191089176534,0.003133980087337412,0.0021610354277906826,0.008917833537411287,0.001102972808281482,-0.002477954119659116,-0.0007446426903170902,0.005460294326523517,0.024654478163445293
2009,30,0.012521820157766343,-0.0004064385928972064,-0.0002502167775902201,0.0033180399099444918,0.002309570823255587,0.010143710535620236,0.0013037520055977827,-0.002477954119659116,-0.0006138561939843175,0.005740143881830063,0.028886154955639964
2009,33,0.012820694825984537,-0.0003995807538618312,-0.00023779112536315505,0.0033422590272613557,0.0023289435229034263,0.010275731106860808,0.0013338688320617285,-0.002477954119659116,-0.0005993304961680241,0.005773283406938987,0.029363163419108114
2009,50,0.01445537719130516,-0.0003635338984662893,-0.00017780807175431948,0.00347583233313415,0.0024414079560084946,0.010979537845421095,0.0015045313547240814,0.0007595153574514231,-0.0005222037555326377,0.005955676784175334,0.03182947693526473
2009,67,0.01619601740911603,-0.00020304405958541892,-0.00012359106291640724,0.0036146949418487877,0.0025798325930285397,0.011760088883001537,0.0016751935737664384,0.0007595153574514231,-0.000439630119374933,0.006149836835844892,0.034295047829109034
