year,percentile,exp,antdyn,antsmb,greendyn,greensmb,glacier,landwater,antnet,greennet,sum
2007,5,0.008229974657297134,0.0027299541980028152,-0.00019024289213120937,0.0016894025029614568,0.0014904462615959347,0.009865183383226395,0.0002794466563500464,0.0026003383100032806,0.0032215165556408465,0.02476743524371159
2007,10,0.009173440746963024,0.0027500782161951065,-0.0001599828974576667,0.0017016869969666004,0.0015029923524707556,0.010186166502535343,0.00028879407909698784,0.0026425049582030624,0.003244227496907115,0.026038945989057538
2007,30,0.011815459467470646,0.002831880934536457,-0.0001073703242582269,0.0017332754796370864,0.0015370583743788302,0.010853993147611618,0.0003355311928316951,0.0027429508820205227,0.00330113674281165,0.029400606065246394
2007,33,0.012121230363845825,0.0028439889079891144,-0.00010205431317444891,0.0017402952071279287,0.00154157227370888,0.010924169793725014,0.0003425417235121131,0.0027571243190323003,0.003308123027672991,0.029818229429984057
2007,50,0.013442737981677055,0.002913743257522583,-7.654178625671193e-05,0.0017701288452371955,0.0015684564714320004,0.011318678501993418,0.00038226827746257186,0.002832439073245041,0.0033452652278356254,0.03152719994614017
2007,67,0.014706665650010109,0.002984089271631092,-5.35062063136138e-05,0.0017964525613933802,0.001600855146534741,0.011782738026231528,0.0004219948314130306,0.0029089518775435863,0.0033842173870652914,0.033106355798154255
2007,70,0.01493541244417429,0.002997269877232611,-4.925956091028638e-05,0.0018034722888842225,0.0016080625355243683,0.01188282947987318,0.00042900542030110955,0.002923197029485891,0.0033920287154614926,0.0334307287223055
2007,90,0.01763715222477913,0.0030866435263305902,-1.887162943603471e-05,0.0018420804990455508,0.0016849985113367438,0.012807788979262113,0.0004734056710731238,0.0030250579366111197,0.003473164769820869,0.0365335078415228
2007,95,0.018670156598091125,0.0031142900697886944,-8.972326759249077e-06,0.0018508550710976124,0.0017325662774965167,0.013223980087786913,0.00048508995678275824,0.003060682878640364,0.0035207918379455802,0.03787797319309902
2008,5,0.00942226778715849,0.0029588909819722176,-0.0003722738183569163,0.0019223066046833992,0.0015177444263827055,0.009918984957039356,0.0005511200288310647,0.002709460473852232,0.0035240621014963835,0.027123401036715223
2008,10,0.010384301654994488,0.003000084310770035,-0.00031190270092338316,0.0019474038854241371,0.0015427843434736132,0.010459965839982033,0.0005707318778149784,0.0027935943799093366,0.0035700987791642547,0.02869841980791534
2008,30,0.013078315183520317,0.003166733542457223,-0.00020666010095737875,0.0020119398832321167,0.0016108984127640724,0.011618562042713165,0.0006687914719805121,0.0029973652126500383,0.0036848414922133086,0.03265678184252465
2008,33,0.013390103355050087,0.003191432380117476,-0.00019625165441539139,0.0020262813195586205,0.0016195097705349326,0.011739669367671013,0.0006835003150627017,0.0030262009386206046,0.0036987857951316983,0.03310978279536357
2008,50,0.01473761722445488,0.003334362991154194,-0.00014519999967887998,0.002087231958284974,0.0016730890492908657,0.012390101328492165,0.0007668508915230632,0.0031801401200937107,0.0037737214006483555,0.03510122626175871
2008,67,0.016026418656110764,0.0034806386055424815,-9.931124077411368e-05,0.002141011878848076,0.0017373837938066575,0.013119114385917783,0.0008502015843987465,0.0033385501301381737,0.0038522755319718273,0.03696701826731442
2008,70,0.01625966653227806,0.0035084845032542942,-9.102411422645673e-05,0.0021553533151745796,0.001751153962686658,0.013269010931253433,0.000864910485688597,0.003368482786754612,0.0038676489843055607,0.0373405848396942
2008,90,0.019014576449990273,0.0037072808481752872,-3.0072495064814575e-05,0.0022342305164784193,0.0019043567590415478,0.014703273307532072,0.0009580671321600676,0.003590644191717729,0.004029212985187769,0.04087927782384213
2008,95,0.020067911595106125,0.0037783479783684015,-9.629442502046004e-06,0.002252157311886549,0.0019974501337856054,0.015367973549291487,0.0009825819870457053,0.0036765826298506,0.004123428312595934,0.04248074392889976
2009,5,0.010274065658450127,0.0031868102960288525,-0.0005692910635843873,0.002153712324798107,0.0015511831734329462,0.01009910828433931,0.0008150199428200722,0.0028050837499904446,0.0038332093332428484,0.029350616334522784
2009,10,0.011347959749400616,0.003250018460676074,-0.00047732802340760827,0.002192151267081499,0.0015892701921984553,0.010831926017999649,0.000845813425257802,0.0029333486745599657,0.0039036007947288454,0.031242374316479984
2009,30,0.014355217106640339,0.003504558000713587,-0.0003167155955452472,0.0022909934632480145,0.0016932578524574637,0.012393906712532043,0.0009997807210311294,0.003244493762758793,0.004079043201636523,0.03594311278720852
2009,33,0.014703258872032166,0.00354233036050573,-0.0003008127387147397,0.002312958473339677,0.0017063368577510118,0.012557171313092112,0.0010228757746517658,0.0032890866277739406,0.004100471858400852,0.036462478659814224
2009,50,0.01620745286345482,0.003761859377846122,-0.00022301705030258745,0.0024063095916062593,0.0017881286912597716,0.013431687373667955,0.0011537481332197785,0.0035254467802587897,0.004215159686282277,0.03882661568786716
2009,67,0.01764610968530178,0.0039896487211808565,-0.00015299892402254045,0.0024886783212423325,0.0018863402074202895,0.014393134973943233,0.0012846202589571476,0.0037716275546699762,0.004335137617308646,0.04107562266290188
2009,70,0.01790647953748703,0.004033643938601017,-0.00014021109091117982,0.002510643098503351,0.0019073542673140763,0.014589563012123108,0.0013077154289931059,0.0038195444285520352,0.0043585945153608915,0.041521356368320994
2009,90,0.020981712266802788,0.0043619126081466675,-4.730471955554092e-05,0.0026314505375921726,0.0021412610076367855,0.01645800843834877,0.0014539845287799835,0.004181875416543335,0.0046054774429649115,0.04569964717666153
2009,95,0.022157521918416023,0.004492173902690411,-1.602126758371014e-05,0.002658906625583768,0.0022834530100226402,0.017332224547863005,0.001492476207204163,0.00433038741175551,0.004749444650951773,0.047645570761960694
