institution,model,b0,b1,b2,b3,b4,b5,sigma
UCIJPL, ISSM1,0.11280511383425385,0.6821503460827252,-0.16400289768763443,0.029789425852056794,-0.009489849321525412,0.00014879916101584456,0.44138133304923294
UAF, PISM1,0.10798850687485739,2.22736503017021,-0.692345687432411,0.08161212823174324,-0.04641834271523848,0.0004685291256141255,0.5278388471215101
NCAR, CISM,0.31324843280109604,1.5993142312892896,-0.44199635991569686,0.05872843417961349,-0.030363605622934386,0.00027208434509873314,0.5786469779135103
MUN, GSM2601,0.26176469764101284,1.9203005829347362,-0.64443813905498,0.06774621868079578,-0.04785788778603006,0.0005414869899329489,0.4804421954085724
AWI, ISSM1,0.15203622407200434,0.5737828059597607,-0.06009509991088713,0.018698973452613288,-0.0017116999595181426,2.627912853014891e-05,0.5379227283666163
JPL, ISSMPALEO,0.08192192746084714,0.6728440122964905,-0.12814016340042222,0.022584230858470278,-0.01643152901161038,0.0001855436066229288,0.40578701831731945
BGC, BISICLES,0.14652938235787794,0.8228410010355418,-0.2424425609220453,0.04248976786373326,-0.01659422359712792,0.0002188231920179362,0.4866165180787471
GSFC, ISSM,0.17216048421978947,1.940293458477143,-0.6163995281733783,0.07537669095303912,-0.034675558756788405,0.0003814767735637048,0.47471207710632624
UCIJPL, ISSM2,0.21641138942280236,0.33642105388928734,0.04866982311529178,-0.015205305616245113,-0.004018009867746031,8.458271035394205e-05,0.42536807781497576
IMAU, IMAUICE2,0.20036011456528868,2.2955765155739787,-0.7112950680247732,0.09145182217310044,-0.044411324549290754,0.00044883827336406057,0.6120063870228036
VUB, GISMHOMv1,0.39396308078447184,0.8529109232648526,-0.19173147734077922,0.0360613162914003,-0.0023678409809129164,-1.1101471443453192e-05,0.5764299273835812
IMAU, IMAUICE1,0.2800198843218169,0.8427979750531325,-0.12558217145775608,0.031145488329698878,-0.0023911906890941026,-7.900936685345528e-06,0.7439631769871697
MUN, GSM2611,0.31961312362156136,0.3908080413807351,0.15162878131265423,-0.042695881436106475,-0.01605741445283293,0.00020608416355116788,0.45394137922358807
UAF, PISM2,0.2167261842707333,0.22324315646728543,-0.0321449483341798,0.019635585944547174,0.0015780370372677766,-1.0150760214600041e-05,0.42575847295364555
VUW, PISM,1.3145573843686975e-05,1.5421914530833938,-0.5162788335603761,0.0604074471391165,-0.03655888489420711,0.0004626783801828793,0.3706427862813395
AWI, ISSM2,0.1513883454153806,0.576742644362664,-0.0562763456969293,0.018041192418930763,-0.0010313859576172035,1.64181719419787e-05,0.539335117427485
ILTS_PIK, SICOPOLIS2,0.23327050371069546,0.635252150611775,-0.05725160435687826,0.01879619175116609,-0.0052735802812815535,6.885471476181237e-05,0.5382205194008777
ILTS_PIK, SICOPOLIS1,0.17910675828310474,1.8256763597420758,-0.5246724854860112,0.06912592493435277,-0.03590566483921975,0.0003654973100086778,0.5533500350485601
AWI, ISSM3,0.0894329235365312,2.117295179930542,-0.6491365405376079,0.08078620843845385,-0.042188539617928456,0.0004211035302041921,0.5679266897268976
JPL, ISSM,0.19722907443354742,0.727228695939683,-0.1329472066135633,0.028647131912272528,-0.003898102886985555,4.903956863699932e-05,0.5329293558099194
LSCE, GRISLI2,0.21625621392082017,0.3885561495874317,-0.03848012730510675,0.017660852688523576,-0.006097320636799353,5.743035870686697e-05,0.49405529384710106
